Team,Year,Perc_foreign
Swindon Town,2014,
Tottenham Hotspur,1992,31.25
Tottenham Hotspur,1993,27.78
Tottenham Hotspur,1994,35.71
Tottenham Hotspur,1995,31.43
Tottenham Hotspur,1996,39.39
Tottenham Hotspur,1997,50.0
Tottenham Hotspur,1998,50.0
Tottenham Hotspur,1999,47.06
Tottenham Hotspur,2000,50.0
Tottenham Hotspur,2001,50.0
Tottenham Hotspur,2002,59.38
Tottenham Hotspur,2003,54.84
Tottenham Hotspur,2004,55.56
Tottenham Hotspur,2005,50.0
Tottenham Hotspur,2006,54.05
Tottenham Hotspur,2007,58.82
Tottenham Hotspur,2008,48.57
Tottenham Hotspur,2009,48.78
Tottenham Hotspur,2010,52.63
Tottenham Hotspur,2011,46.94
Tottenham Hotspur,2012,45.71
Tottenham Hotspur,2013,58.33
Tottenham Hotspur,2014,64.52
Watford FC,1992,
Watford FC,1993,
Watford FC,1994,
Watford FC,1995,
Watford FC,1996,
Watford FC,1997,
Watford FC,1998,
Watford FC,1999,48.39
Watford FC,2000,
Watford FC,2001,
Watford FC,2002,
Watford FC,2003,
Watford FC,2004,
Watford FC,2005,
Watford FC,2006,48.78
Watford FC,2007,
Watford FC,2008,
Watford FC,2009,
Watford FC,2010,
Watford FC,2011,
Watford FC,2012,
Watford FC,2013,
Watford FC,2014,
West Bromwich Albion,1992,
West Bromwich Albion,1993,
West Bromwich Albion,1994,
West Bromwich Albion,1995,
West Bromwich Albion,1996,
West Bromwich Albion,1997,
West Bromwich Albion,1998,
West Bromwich Albion,1999,
West Bromwich Albion,2000,
West Bromwich Albion,2001,
West Bromwich Albion,2002,44.44
West Bromwich Albion,2003,
West Bromwich Albion,2004,55.17
West Bromwich Albion,2005,45.16
West Bromwich Albion,2006,
West Bromwich Albion,2007,
West Bromwich Albion,2008,70.0
West Bromwich Albion,2009,
West Bromwich Albion,2010,62.16
West Bromwich Albion,2011,61.11
West Bromwich Albion,2012,68.97
West Bromwich Albion,2013,66.67
West Bromwich Albion,2014,73.91
West Ham United,1992,
West Ham United,1993,14.81
West Ham United,1994,25.93
West Ham United,1995,48.57
West Ham United,1996,50.0
West Ham United,1997,47.22
West Ham United,1998,41.67
West Ham United,1999,48.39
West Ham United,2000,58.97
West Ham United,2001,63.33
West Ham United,2002,47.06
West Ham United,2003,
West Ham United,2004,
West Ham United,2005,42.31
West Ham United,2006,39.39
West Ham United,2007,39.39
West Ham United,2008,53.85
West Ham United,2009,54.29
West Ham United,2010,58.97
West Ham United,2011,
West Ham United,2012,52.94
West Ham United,2013,50.0
West Ham United,2014,62.5
Wigan Athletic,1992,
Wigan Athletic,1993,
Wigan Athletic,1994,
Wigan Athletic,1995,
Wigan Athletic,1996,
Wigan Athletic,1997,
Wigan Athletic,1998,
Wigan Athletic,1999,
